Marilyn Monroe
William W. Purkey
Dr. Seuss
Elbert Hubbard
"Martin Luther King Jr., A Testament of Hope: The Essential Writings and Speeches"
"Stephen Chbosky, The Perks of Being a Wallflower"
Bob Marley
"André Gide, Autumn Leaves"
"John Green, The Fault in Our Stars"
Elie Wiesel
Friedrich Nietzsche
"Pablo Neruda, 100 Love Sonnets"
"William Shakespeare, All's Well That Ends Well"
"Neil Gaiman, The Kindly Ones"
Lao Tzu
Marilyn Monroe
"Sarah Dessen, The Truth About Forever"
"Robert A. Heinlein, Stranger in a Strange Land"
"Suzanne Collins, Mockingjay"
Bob Marley
"Nicholas Sparks, The Notebook"
"John Green, The Fault in Our Stars"
"William Shakespeare, A Midsummer Night's Dream"
"Nicholas Sparks, A Walk to Remember"
"Elizabeth Gilbert, Eat, Pray, Love"
Marilyn Monroe
"Jodi Picoult, My Sister's Keeper"
"Robert Fulghum, True Love"
Anaïs Nin
"Jane Austen, Northanger Abbey"
Marilyn Monroe
Alfred Tennyson
"C.S. Lewis, The Four Loves"
"Jess C. Scott, The Intern"
"J.K. Rowling, Harry Potter and the Deathly Hallows"
"Neil Gaiman, The Kindly Ones"
"J.M. Barrie, Peter Pan"
"Jane Austen, Pride and Prejudice"
"Nicholas Sparks, The Notebook"
"Nicholas Sparks, At First Sight"
"Alfred Tennyson, In Memoriam"
"Pablo Neruda, 100 Love Sonnets"
Bob Marley
"Chuck Palahniuk, Invisible Monsters"
"John Green, The Fault in Our Stars"
"Lisa Kleypas, Blue-Eyed Devil"
"Sarah Dessen, This Lullaby"
Mahatma Gandhi
"Anonymous, Holy Bible: New International Version"
"Paulo Coelho, The Alchemist"
"Paulo Coelho, The Alchemist"
Robert Frost
"Stephen Chbosky, The Perks of Being a Wallflower"
"Jane Austen, Pride And Prejudice"
"Rainer Maria Rilke, Letters to a Young Poet"
"Nicholas Sparks, The Notebook"
"Nicholas Sparks, The Notebook"
E.E. Cummings
"Markus Zusak, The Book Thief"
"Paulo Coelho, The Alchemist"
"Cassandra Clare, City of Glass"
Mahatma Gandhi
Oscar Wilde
"Christian D. Larson, Your Forces and How to Use Them"
"Charlotte Brontë, Jane Eyre"
"Louise Erdrich, The Painted Drum"
"Nicole Krauss, The History of Love"
Zelda Fitzgerald
Nicholas Sparks
John Lennon
"Nicholas Sparks, The Notebook"
Lady Gaga
"Haruki Murakami, South of the Border, West of the Sun"
Edgar Allan Poe
"Stephenie Meyer, Twilight"
"Elizabeth Gilbert, Eat, Pray, Love"
Plato
Shana Abe
Dave Matthews Band
"Jane Austen, Sense and Sensibility"
"Rainbow Rowell, Eleanor & Park"
"Emily Brontë, Wuthering Heights"
"Martin Luther King Jr., A Testament of Hope: The Essential Writings and Speeches"
Trisha Yearwood
"Fyodor Dostoyevsky, The Brothers Karamazov"
Jalaluddin Rumi
"Lemony Snicket, Horseradish"
Tom Bodett
Milan Kundera
"Sarah Dessen, This Lullaby"
Oscar Wilde
"Anonymous, Holy Bible: New International Version"
"Elizabeth Gilbert, Eat, Pray, Love"
"William Shakespeare, Hamlet"
"Stephanie Perkins, Anna and the French Kiss"
"Nicholas Sparks, The Notebook"
"Cassandra Clare, City of Glass"
Jon Katz
"Neil Gaiman, The Kindly Ones"
"Pablo Neruda, Love: Ten Poems"
"Jamie McGuire, Beautiful Disaster"
"J.R.R. Tolkien, The Fellowship of the Ring"
"Oscar Wilde, The Importance of Being Earnest and Other Plays"
"Chuck Palahniuk, Choke"
Friedrich Nietzsche
"Nicholas Sparks, The Notebook"
"Emily Brontë, Wuthering Heights"
"Candace Bushnell, Sex and the City"
"Paul McCartney, The Beatles Illustrated Lyrics"
"Suzanne Collins, Mockingjay"
"Henry Rollins, The Portable Henry Rollins"
"Antoine de Saint-Exupéry, Airman's Odyssey"
Mother Teresa
Greg Behrendt
Joan Crawford
"Veronica Roth, Divergent"
"Nicholas Sparks, The Notebook"
"Suzanne Collins, The Hunger Games"
"Haruki Murakami, Kafka on the Shore"
Maya Angelou
"Andrew  Boyd, Daily Afflictions: The Agony of Being Connected to Everything in the Universe"
"Vladimir Nabokov, Lolita"
"Ursula K. Le Guin, The Lathe of Heaven"
"Anonymous, Holy Bible: King James Version"
Charles Bukowski
"Nicholas Sparks, Message in a Bottle"
Shel Silverstein
"Paulo Coelho, By the River Piedra I Sat Down and Wept"
"Rick Riordan, The Battle of the Labyrinth"
Kahlil Gibran
"Lauren Oliver, Delirium"
"Richelle Mead, Vampire Academy"
Nicholas Sparks
Pedro Calderón de la Barca
James     Baldwin
Max Lucado
"Cassandra Clare, City of Bones"
"Jane Austen, Pride and Prejudice"
"Nicholas Sparks, Message in a Bottle"
"Cassandra Clare, City of Bones"
Gillian Anderson
Robert Frost
"Santosh Kalwar, Quote Me Everyday"
"Kahlil Gibran, The Prophet"
Vincent van Gogh
Jonathan Safran Foer
"J.K. Rowling, Harry Potter and the Deathly Hallows"
Emily Dickinson
Jimi Hendrix
"Leo Tolstoy, Anna Karenina"
"Agatha Christie, An Autobiography"
"Nicholas Sparks, Nights in Rodanthe"
Mahatma Gandhi
"Bertrand Russell, The Conquest of Happiness"
Bob Marley
"Charles Dickens, Great Expectations"
F. Scott Fitzgerald
"Jodi Picoult, Nineteen Minutes"
"Stephenie Meyer, The Host"
"Pablo Neruda, Selected Poems"
"Sarah Dessen, This Lullaby"
"Victor Hugo, Les Misérables"
"Tahereh Mafi, Shatter Me"
Taylor Swift
Scott Adams
"Bob Marley, Guitar Chord Songbook - Bob Marley"
"E.M. Forster, A Room with a View"
C. JoyBell C.
Albert Einstein
Tom Robbins
Edna St. Vincent Millay
"Nicholas Sparks, Dear John"
"Clive Barker, Days of Magic, Nights of War"
"J.R. Ward, Dark Lover"
"Stewart O'Nan, The Odds: A Love Story"
"Fyodor Dostoyevsky, The Brothers Karamazov"
Charles Dickens
C.S. Lewis
